Indonesia,Asia,https://www.countryflags.io/id/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,11,,,11,,,,,2,,,,,,,58,,1,,61,,,,,34,22,,,,,6,13,142,25,29,15,,65,50,15,37,12,8,28,15,41,,22,38,169,101,75,45,12,16,383,,,,13,24,4,26,117,12,124,21,139
Canada,America,https://www.countryflags.io/ca/flat/64.png,,,1,,,,,,,,,,,,,,7,,6,5,,,,,,,4,,,32,,24,16,,29,15,28,23,2,23,40,41,36,5,72,96,11,5,,,2,118,10,60,2,44,1,10,113,,3,17,39,7,11,29,55,38,6,,5,15,22,256,4,5,2,37,21,11,10,16,3,28,16,13,252,5,7,5,5,13,17,1,3,1,12,1
Iran,Asia,https://www.countryflags.io/IR/shiny/64.png,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,24,6,,,16,22,27,,,,,,,,,,,4,,,,23,,,,,,,25,,5,,,,133,60,,,,,106,,290,6,,4,39,150,66,12,7,88,,,8,30,161,282,,97,78,,,
Italy,Europe,https://www.countryflags.io/it/flat/64.png,,,,,,,,,,,4,,,,,,,7,,,,6,,,7,2,52,,,,,,,67,30,69,19,64,,14,38,45,93,29,21,,39,72,33,,11,29,95,,4,4,13,1,19,52,142,30,38,,,49,118,,81,,,,9,,,37,33,,13,,,,,49,,1,0,7,,114,3,2,6,16,3,,,2
Spain,Europe,https://www.countryflags.io/es/flat/64.png,,,,,,,,,3,,3,1,,9,,3,15,1,2,1,,6,,,,,,7,,,,,,,,53,31,,16,39,,23,,,,62,37,66,,,18,,81,,1,,6,,112,,115,109,4,,24,,,,15,,50,274,18,148,,,,,,,,,,,,,7,,1,14,5,,,,6,,154,
England,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,61,,,1,5,46,6,6,8,,4,1,4,14,4,,3,,2,11,17,,2,2,,,35,,54,161,,20,77,38,56,10,12,20,19,,67,134,47,14,,,12,7,,77,,122,22,,,,125,4,,6,18,,,17,,3,,,1,55,,,,47,10,,,2,6,12,,,4,2,5,,16,,,,,,0,
Peru,America,https://www.countryflags.io/pe/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,14,,5,,,,38,9,,,,24,19,,,,34,,,124,,47,,49,77,,,132,126,6,6,,,25,,,29,,,,,35,,,88,12,84,9,15,17,,37,,216,,97,,,,6,46,,53,,13,,
Mexico,America,https://www.countryflags.io/mx/flat/64.png,,,,,,,,,,,,,,,,,,4,,,,,,,16,,3,,,,,,,28,15,26,,41,,21,,22,18,66,,6,45,69,8,,,,,10,6,13,56,106,19,,23,35,,9,12,13,18,82,16,68,,,,,188,6,21,6,20,,13,3,23,9,25,,6,27,19,19,5,9,9,,,5,9,
Philippines,Asia,https://www.countryflags.io/ph/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5,12,,42,,13,,,,,26,1,,62,,3,27,122,50,24,52,14,58,38,112,,,2,42,11,24,21,,2,23,7,,34,,,65,,1,36,,,29,,,,,104,18,146,,29,,2,,,,,
Nigeria,Africa,https://www.countryflags.io/ng/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,29,,,,13,32,,,,,1,,,,,,,64,96,,,,176,,,,,18,,,,,53,,,,,6,,,4,158,,3,26,157,6,,,1,1,79,,,225,109,,3,
South Vietnam,Asia,https://www.countryflags.io/VN/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,38,123,91,109,194,54,192,65,195,82,54,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,America,https://www.countryflags.io/VE/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,,31,,15,,2,4,25,8,23,4,13,12,23,,,,,,55,146,,18,43,,125,,,,74,,11,,,23,,2,,10,,3,25,78,,11,7,,8,12,1,28,,37,,6,51,166,,,64,19
Saudi Arabia,Europe,https://www.countryflags.io/sa/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,49,,,33,11,,,,,,,,82,,,156,390,,,,,,63,,,,,372,,,,,,,,12,,3,,,1,,,,,
Afghanistan,Asia,https://www.countryflags.io/af/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,3,,,,,,,,,,4,,,,,,,45,,,19,310,78,40,104,93,54,124,,,106,50,3,20,38,45,,,,3,,6,,16,,,
Taiwan,Asia,https://www.countryflags.io/TW/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,16,2,,,,,,,,18,,,,57,,,,21,85,57,25,,,,28,,,,6,,112,15,57,,,35,,10,12,18,5,7,6,,4,6,21,209,1,83,,227,,,,,,,
Egypt,Africa,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,7,,,30,55,5,,30,3,,52,,8,,,20,3,71,,149,30,,44,100,,,6,110,6,20,,,18,5,13,17,,,2,,23,5,12,,,,,,,,,,,,,,,,148,,,9,,5
Angola,Asia,https://www.countryflags.io/ao/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,22,,,,,30,,10,29,4,15,137,,22,,,29,47,25,63,3,,46,189,14,53,51,24,104,16,25,,,,,5,13,
Vietnam,Asia,https://www.countryflags.io/vn/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,40,11,,,,,,,,,,,16,18,55,192,96,38,,131,27,98,164,1,,,,,,,,,,,,,,,,30,,,,,,,,,16,,,,,,,,
Turkey,Europe,https://www.countryflags.io/tr/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,9,29,,,,,12,42,55,11,17,3,,,,10,,,,1,,66,42,154,,,41,18,0,27,47,,,,,16,,,,,,57,,,,,12,4,34,,150,,,,57,,
Germany,Europe,https://www.countryflags.io/de/flat/64.png,,,30,19,27,23,22,,,,,,,,9,15,14,6,8,6,7,12,16,29,18,16,45,7,33,,,,,47,,,27,3,,,44,44,,,3,,23,,,3,,38,,,49,2,48,,,22,8,,3,,,,,,,,,,,,,2,23,20,23,33,,,,,,,,4,,11,71,,,,5,,,
Argentina,America,https://www.countryflags.io/ar/flat/64.png,,,,,,,,,,,,,,,,,,,3,,,2,5,,,3,,,,,,,,,5,18,18,5,17,11,,,25,,18,103,,61,41,91,,,28,,1,,,22,37,,,,,67,34,52,,,,31,,,12,7,,,22,,,,,,,53,,,3,64,1,15,,5,,10,,,,
Thailand,Asia,https://www.countryflags.io/th/flat/64.png,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,26,,28,,,4,,46,,,,,,23,53,,,,44,,13,30,,11,,,76,,38,223,,,,,,2,102,,,1,,,,,,90,20,
Greece,Europe,https://www.countryflags.io/gr/flat/64.png,,,,,,,,,,,,,,,,,,2,,,,,,,2,2,,,,,,,16,,,44,23,22,,,,,,,,,,18,3,,,,,10,5,66,,90,23,,38,,88,,50,,,14,,,,,,1,4,,,34,,63,7,,,,,75,,,,,,,17,121,,,,
Ecuador,America,https://www.countryflags.io/ec/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,30,,,34,15,,,,,,,,35,,55,,,,,9,,,,1,,12,,,22,,93,57,,57,,45,44,127,4,,,,29,,,22,,,17,7,4,,70,,,,26,,,,5,,3,
Canary Islands,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,596,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Asia,https://www.countryflags.io/lk/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,183,,,,,,,,22,,,,,,19,,,196,39,,55,,20,,5,,,,,,,
Ireland,Europe,https://www.countryflags.io/ie/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,13,,30,8,,,,,28,18,,7,99,,34,83,,,,,,5,61,,,,,,,,5,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,2,,
Morocco,Africa,https://www.countryflags.io/ma/flat/64.png,,,,,,,,,,,3,,,,3,1,,7,4,,,,1,,,,,25,,,,,,13,16,,,,26,,,,,,,,61,,20,72,,,,50,,,,,61,,14,106,,188,,,,,,,,,,,,,,,,,,,44,,,,,,,,,8,,,,,,
Australia,Oceania,https://www.countryflags.io/au/flat/64.png,,,,,,,,,,4,,,,,,3,1,,,11,5,,24,5,2,6,37,4,10,,58,122,21,25,,,16,34,29,2,,,5,,,,,,9,15,,,,,24,,26,,,,,,,13,,,,,15,,,12,2,2,6,,10,,11,,6,,15,5,,5,,3,16,,10,4,10,15,,,1,
Bolivia,America,https://www.countryflags.io/bo/flat/64.png,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,32,34,,28,,,,19,34,11,6,,10,41,23,,3,,,74,,,1,,35,67,29,6,18,10,13,7,,,29,35,,14,9,29,4,,15,,,,,10,,,,,,,,,6,,,
Sudan,Asia,https://www.countryflags.io/sd/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,33,,,,,,,,,5,,,,,,,,12,,,,,,,,,,,10,,,,5,,,,,,,,8,,,60,13,,6,,8,,11,,,144,,27,50,,14,,116,17,14,,0,67,
Pakistan,Asia,https://www.countryflags.io/pk/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,,,,11,,,3,24,,2,,,1,,,26,10,4,,,55,,26,,,,,,,,,,,,24,,29,,64,54,,,,,,,,,56,,,,7,17,,104,45,,,
Nepal,Asia,https://www.countryflags.io/np/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,20,,4,,10,,,,,,,35,,,31,,,,,,,,,10,,,15,25,,,,,,,280,19,,2,,,27,34,25,,22,,3,,,,28,
Portugal,Europe,https://www.countryflags.io/pt/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,15,,,,14,,,30,,,,,,,61,,,,,,,,,,,,3,,,68,167,,,,,,,,,,,,144,,,56,,,,,,7,,,,,,,,,,,
Florida,America,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,3,,,,2,28,14,1,,28,43,3,44,,19,,,9,,,,,59,10,2,,,4,,,,103,,,,,,3,,5,,3,16,14,,,,4,,3,1,,,12,,117,4,,,7,,5,,,20,,,,
Georgia,Europe,https://www.countryflags.io/ge/flat/64.png,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,,20,,,,10,18,,,,,,,,,,,2,4,,,,,18,,2,7,14,1,,,,,,,62,,,,,,4,,17,,,,2,,32,85,260,,0,,2,,,3,21,,,,,,,,
Scotland,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,13,,42,,,,40,20,,,14,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,259,,,,,,29,,,,,8,,2,,,,,,,,16
Norway,Europe,https://www.countryflags.io/no/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3,10,,24,15,16,35,19,34,,,11,,,,2,,,,,39,,12,,,,11,5,,,,59,,,,,,18,,,,15,,,,,10,36,4,5,,,10,,,141,,,,,,,,,,4,,,
South Korea,Asia,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,69,,,,,22,,,,,,,,,,15,,,,2,,,,,,,,,15,,106,,29,,,,,33,,,,68,0,,,,,,,8,128,,,,,,,
Yugoslavia,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,15,,,22,,,10,26,,,,,,,,,,,,,33,,98,,,,,78,,41,,,176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Europe,https://www.countryflags.io/ch/flat/64.png,,,,,,,,,,,,,,,,,,5,,,,,,13,5,,13,6,,,,,,,,,,,,6,,1,,,23,9,,,,,,80,,,117,4,,,58,45,,,,,,,,,,,,,,,8,1,,,46,,,,,,,,,,10,26,,,,,,,,
Algeria,Africa,https://www.countryflags.io/dz/flat/64.png,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,29,,,,,,9,,26,,,,,,,34,15,,,78,11,,,,,35,,33,31,,,,,,,,,14,,,,,,,,,,,,,,,8,,,,,,,,,106,1,,,,,
Chile,America,https://www.countryflags.io/cl/flat/64.png,,,,,,,,,,,,,,,,,,,,,9,,,,,,4,,,,,,,,,,,,,,,7,16,,,,,5,,24,,19,,87,8,16,36,,,6,32,,,10,,38,,,,,46,,,,11,2,,,,20,,,,,,,,,14,,,,,,,,19,13
Poland,Europe,https://www.countryflags.io/pl/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,33,,,,,,,53,,,,33,,,,,,,87,1,,,11,,,183,1,,,,,2,,,,,,,,,,,,,,,20,
Libya,Europe,https://www.countryflags.io/ly/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,25,,,1,,,,,,15,,,36,,,17,,,,,,,11,,13,16,,,,,,,,,,,,,,,,,14,75,,,160,,,,,,,,22,,,,,,,,,
Laos,Africa,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,91,,,,,,,6,,6,,,2,44,63,63,10,,56,4,,16,,,,,,,,,,,,,,,,,,18,,,,,26,,8,,,,,,,,,
Czechoslovakia,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,7,,,,10,,,,,,,3,,,,,,,,,10,,,,5,,,,15,,22,,,,,10,11,,,,82,,11,,,,27,66,,75,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,6,,,,,,,,,,,,,,28,,40,,,,6,27,41,,51,,,149,,41,,4,17,
Michigan,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,58,,,,,,1,,47,,,,,,8,,6,,4,,8,,2,,,6,15,,2,4,,5,,5,2,,3,163,6,,8,3,,,,,,29,,10,,,,,,,,,,
Nevada,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,22,,,,21,,,,,,,,,14,,,49,,,,,,117,,,,23,,10,,4,,4,4,,,14,,,11,,6,3,70,,,,,,5,,3,5,1,,,,,,,,,5,,,,,
Cameroon,Africa,https://www.countryflags.io/cm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,3,,,,,,,111,55,,4,,,,,,,,,,,,,,,,1,,,2,,,11,,,,,,,,72,,,,,,,,,,,6,114,,
Cuba,America,https://www.countryflags.io/cu/flat/64.png,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,17,,,,,,,,,,,,,,17,,,,22,,,,,,,,,,,,,,5,68,,,4,,,,,38,,,,126,15,,,0,,,,44,,,,,17,,,,,,,
Maryland,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,2,,,,,102,,,3,11,31,,,18,95,,,,,,,3,,,,1,,,,,,,21,,,3,,,,,7,,,,,,,,,1,,,,,,,,,,4,
Arizona,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,,,,128,,,,,,,,4,2,,11,,3,6,24,,,2,,2,,,,8,,,12,,6,25,,5,10,,,15,,,17,4,,,,,6,,7,,,,,6,
Colorado,America,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,,,,,,2,,,,53,,,,44,,,2,,,17,,3,5,,3,2,,5,30,,,,2,9,4,6,,,,19,2,2,,,,31,9,,2,28,3,3,,3,,9,,,,28,,,3,8,,,,
Romania,Europe,https://www.countryflags.io/ro/flat/64.png,,,,,,,,,,,,2,,,,,,,,,,,,,,,21,,14,15,,10,,,,16,,,,,,,,,,,,,,,,,32,,24,,,,39,,,,33,,6,29,,,,,7,,,,,,,12,,9,,,,60,,,,7,,,,,,,,,,
Panama,America,https://www.countryflags.io/pa/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,23,,,,,,46,,,,,,,,,,,,10,75,,,,,,,,22,,,,,,,,,,,,,4,,16,,20,,47,,21,,,10,,,10,,,,6,,,,11,
Bulgaria,Europe,https://www.countryflags.io/bg/flat/64.png,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,5,,,,,,47,,,28,35,,,3,,,73,,,,,,50,,,,28,,,,,,,,,,,,,,,,,,,,,
Honduras,America,https://www.countryflags.io/hn/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,3,,,,12,,3,,,,,,,,4,,,6,,,3,,20,,25,,,,,,,,21,59,,,137,3,,,,,,,3,,,,,6,,,,,,3,
Nicaragua,Europe,https://www.countryflags.io/ni/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,19,,,,,,,,,,25,16,,75,2,2,,,,,,,,,,,,,,,,,,,,,104,,,,21,,,,,,,,,,,,,44,,,,,,,,,,
East Germany,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,156,,,26,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Africa,https://www.countryflags.io/et/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,,1,17,,,,,,,54,,2,1,,5,,5,,,73,,26,,,54,35,16,,,,,,,,,,,,,,,,,,1,,
Belgium,Europe,https://www.countryflags.io/be/flat/64.png,,,,21,,20,,,,,,,,,2,,,,,2,,25,,,,26,,3,,,,,,31,1,,8,,,,,,,,,,,,,85,,,,4,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Guatemala,America,https://www.countryflags.io/gt/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,30,,,5,,,,,,,,,,,,5,,,,15,,28,,,,,,,,,87,2,,,3,,,13,,,18,5,11,16,,9,,,,,,,11,
Kenya,Africa,https://www.countryflags.io/ke/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,15,28,,,,,,,,,,20,,,,,,,13,,,,,,,,,,,,59,,4,,5,,,,,,9,,,,,,10,5,46,,8,,8,,6,6,,,1,17,2,,14,,,
Zaire,Africa,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,37,,,,6,,,,,45,,,,,31,,,,,,72,,,,30,,2,,5,,20,,,,,,2,22,,,,,,,,,,,,
Burma,Asia,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,22,,,,,,,,,,12,,,,,,32,20,,,,,,,,,,,,,17,19,62,,43,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Europe,https://www.countryflags.io/ua/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,6,,,,,,,,9,,,,9,,,,,,,,,,,,,0,,,,170,5,,
Ivory Coast,Africa,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,17,,,,,,169,,,,,,,,,
Antarctica,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,85,8,,,,,,43,,,,7,
New Guinea,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,28,,80,,,,,,7,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,8,,,9,,,14,,3,8,,,,28,13,20,,,,,,,,,2,,,,
West Germany,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,20,,26,38,,,,,,,,37,,,,,,,,,,11,46,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Sea,Europe,https://www.countryflags.io/YT/shiny/64.png,,,14,,,,,,,,,52,,,,,,3,,,,,,,,,,11,6,,,7,,,,,,,7,,,,,,23,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,
Syria,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,,,,,,,,,14,,,,,,9,,,19,,,,,,,,,54,,1,,,,,,,9,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Europe,https://www.countryflags.io/bh/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,
AtlantiOcean,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,6,,,31,40,7,,,,,,,,,,,,36,,,,28,,,,,3,,3,23,,2,,2,,2,,7,,2,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Europe,https://www.countryflags.io/dk/flat/64.png,,,,,,18,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,22,22,,27,,,,,,,,23,,,,,,,,,,,,,8,32,,,3,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
Macedonia,Europe,https://www.countryflags.io/YT/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,199,,,,,,,,,,,,,,,11,
South Africa,Africa,https://www.countryflags.io/za/flat/64.png,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,10,,,,,,,13,,,29,,,,,,,,,,,2,13,,,,25,,,3,11,,1,,,,,,,,,,7,,,34,,41,,,,,,,3,,,1,9,,,3,,,,,,,
Myanmar,Europe,https://www.countryflags.io/mm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,6,,,26,,,,,,2,,,,8,9,,4,,49,,26,,,,,,,,,60,8,,,,,,,,,,
